calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.900,0.900,0.912,0.877,True,0.7082523056996592,0.905,0.874,True,0.6047248119383539
0.900,0.100,0.894,0.105,True,0.2557066109553716,0.903,0.111,True,0.27025410353041934
0.900,0.500,0.907,0.493,True,0.3114985297312387,0.912,0.473,True,0.7879731219847486
0.100,0.900,0.102,0.899,True,0.08238789289038095,0.085,0.886,True,0.6997627616250384
0.100,0.100,0.101,0.098,True,0.050308752397029366,0.103,0.132,True,0.7901853727867092
0.100,0.500,0.099,0.498,True,0.04407336036433662,0.090,0.499,True,0.4044316472787841
0.500,0.900,0.496,0.895,True,0.22081096628051,0.499,0.884,True,0.365082602783275
0.500,0.100,0.494,0.117,True,0.5117119674731612,0.497,0.130,True,0.7715274806136563
0.500,0.500,0.500,0.521,True,0.5118946307877081,0.496,0.507,True,0.24320215639494336
