calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.500,0.500,0.500,0.490,True,0.25562509738239214,0.511,0.462,True,1.0717906524002956
0.500,0.900,0.488,0.907,True,0.531963983507012,0.507,0.899,True,0.3025670081476619
0.500,0.100,0.491,0.111,True,0.48528583295865246,0.506,0.120,True,0.5807506487616365
0.900,0.500,0.914,0.496,True,0.5330679864666195,0.905,0.516,True,0.4095917675261376
0.900,0.900,0.897,0.895,True,0.15468661200088718,0.888,0.919,True,0.6377695541378898
0.900,0.100,0.898,0.069,True,0.702011606346673,0.899,0.136,True,0.8182810506916667
0.100,0.500,0.095,0.520,True,0.515094956270957,0.092,0.483,True,0.5122117625125497
0.100,0.900,0.107,0.906,True,0.31071680693031567,0.101,0.897,True,0.0747145888947216
0.100,0.100,0.107,0.116,True,0.4677928209219999,0.101,0.071,True,0.6829262825903015
