calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.500,0.500,0.501,0.493,True,0.16151740007580884,0.510,0.496,True,0.4382460911539283
0.500,0.900,0.497,0.893,True,0.183391794759018,0.500,0.887,True,0.28745065887204646
0.500,0.100,0.497,0.134,True,0.8329985141092493,0.499,0.115,True,0.3619103839292279
0.900,0.500,0.902,0.459,True,0.9357397116015704,0.897,0.512,True,0.2895566351749608
0.900,0.900,0.894,0.884,True,0.3872448333343641,0.900,0.909,True,0.1983146427543261
0.900,0.100,0.903,0.078,True,0.5042815457614438,0.906,0.139,True,0.9215295669164902
0.100,0.500,0.112,0.536,True,0.9681593124835786,0.104,0.476,True,0.5659542230840771
0.100,0.900,0.093,0.915,True,0.41046531219257076,0.093,0.879,True,0.5405027995033151
0.100,0.100,0.095,0.108,True,0.2829236221128326,0.092,0.086,True,0.4509799170817246
