"part_ID","sugar_craving","fat_craving","unhealthy_craving","Rel_DT_Sugary_mean","Rel_DT_Sugary_sd","Rel_DT_Salty_mean","Rel_DT_Salty_sd","Rel_DT_Unhealthy_mean","Rel_DT_Unhealthy_sd","FixCount_Total_mean","FixCount_Total_sd","Rel_FixCount_Sugary_mean","Rel_FixCount_Sugary_sd","Rel_FixCount_Salty_mean","Rel_FixCount_Salty_sd","Rel_FixCount_Unhealthy_mean","Rel_FixCount_Unhealthy_sd","first_fix_Sugary_mean","first_fix_Sugary_sd","first_fix_Salty_mean","first_fix_Salty_sd","first_fix_Unhealthy_mean","first_fix_Unhealthy_sd","RT_AB_score","RT_Salty_AB_score","RT_Sugary_AB_score"
"Guest06",40,30,35,0.472,0.175910816565143,0.487179487179487,0.177273928945969,0.479493670886076,0.175615392221382,3.9493670886076,1.11973822693149,0.479,0.149113620420375,0.477179487179487,0.186123172543412,0.478101265822785,0.167317263116627,0.475,0.505736325340815,0.435897435897436,0.502356122102941,0.455696202531646,0.501215659465151,-31.69,-30.26,-33.3
"Guest07",10,0,5,0.566818181818182,0.284410607993784,0.432105263157895,0.318914459923877,0.504390243902439,0.304729788341145,3.09756097560976,1.28072007184983,0.565909090909091,0.281419177112636,0.437368421052632,0.323364983077484,0.506341463414634,0.3047027740074,0.761904761904762,0.436435780471985,0.571428571428571,0.513552591013095,0.685714285714286,0.471008215953606,-13.09,-64.68,38.91
"Guest09",90,70,80,0.48974358974359,0.202425908206164,0.475128205128205,0.240403956037068,0.482435897435897,0.220902434228067,3.93589743589744,1.19891448293693,0.475384615384615,0.197934680265541,0.474358974358974,0.238004808352521,0.474871794871795,0.217463199393008,0.513513513513513,0.506711709709532,0.5,0.506711709709532,0.506666666666667,0.503322295684717,56.1,3.6,109.31
"Guest10",65,50,57.5,0.462702702702703,0.307414384184611,0.479411764705882,0.292097339280886,0.470704225352113,0.298152999762883,3.40845070422535,1.5908440238595,0.473513513513514,0.290002071029159,0.481470588235294,0.277042085774982,0.477323943661972,0.281871083737021,0.548387096774194,0.505879411020674,0.645161290322581,0.48637345711392,0.596774193548387,0.494549883752722,-11.12,-10.71,-11.14
"Guest11",60,20,40,0.386896551724138,0.335272846758277,0.393478260869565,0.390263415652605,0.389807692307692,0.356967018768804,1.94230769230769,0.978463411971607,0.384827586206897,0.318844125482468,0.431739130434783,0.383733479643371,0.405576923076923,0.346248315414822,0.65,0.489360484929593,0.8,0.414039335605413,0.714285714285714,0.458349248514106,-32.8,-28.76,-35.65
"Guest12",20,20,20,0.433846153846154,0.183412325026591,0.460277777777778,0.247553585669402,0.446533333333333,0.215491225966322,4.54666666666667,1.54476739553446,0.463846153846154,0.173866485142682,0.454722222222222,0.23919491288321,0.459466666666667,0.206410070289986,0.552631578947368,0.503896622873567,0.441176470588235,0.503994737261378,0.5,0.503508814978013,31.1,40.84,22.31
"Guest13",5,15,10,0.557105263157895,0.450842501981759,0.494,0.418914563801148,0.526849315068493,0.433970290561234,3.71232876712329,1.21882744260843,0.554736842105263,0.443522368137625,0.501714285714286,0.402999676793665,0.529315068493151,0.422483822067397,0.846153846153846,0.36794648440312,0.769230769230769,0.42966892442366,0.807692307692308,0.397958591720272,-61.96,20.15,-142.87
"Guest15",50,40,45,0.44525,0.183722023860184,0.407105263157895,0.216905856957255,0.426666666666667,0.200179573063441,4.38461538461539,1.16475034090716,0.43275,0.151555820299541,0.453157894736842,0.207522128590923,0.442692307692308,0.180091413129325,0.425,0.500640615253123,0.486486486486487,0.506711709709532,0.454545454545455,0.501194744833586,16.74,54.47,-19.1
"Guest17",40,15,27.5,0.3116,0.397331515655798,0.294615384615385,0.326094842268083,0.302941176470588,0.359195178796415,1.96078431372549,1.29554288719016,0.3164,0.396735428213816,0.314615384615385,0.312950229515567,0.315490196078431,0.352875693271669,0.833333333333333,0.389249472080761,0.5625,0.51234753829798,0.678571428571429,0.475594865605671,-21.39,-19,-22.72
"Guest20",100,60,80,0.475625,0.375387434268186,0.4784375,0.368091059692852,0.47703125,0.36879761597334,2.546875,1.33249601684982,0.49125,0.375127935166038,0.4640625,0.357913842353697,0.47765625,0.363958580355355,0.75,0.442325868464691,0.833333333333333,0.380693493813441,0.791666666666667,0.410414079086058,53.95,-48.91,155.94
"Guest21",30,60,45,0.482820512820513,0.250682738451663,0.413421052631579,0.349279384151794,0.448571428571429,0.303370167693886,2.80519480519481,1.25696963325294,0.459230769230769,0.248653051622078,0.417631578947368,0.34473988792591,0.438701298701299,0.298682857019345,0.555555555555556,0.50395263067897,0.62962962962963,0.492102877623411,0.587301587301587,0.496273878434877,-32.23,-35.35,-28.99
"Guest22",100,100,100,0.597714285714286,0.431741246815359,0.393225806451613,0.397067476186556,0.501666666666667,0.425258594028236,1.92424242424242,1.08571998175767,0.604857142857143,0.431375170605734,0.422258064516129,0.399939242697516,0.519090909090909,0.423784151417921,0.92,0.276887462097269,0.631578947368421,0.495594627783352,0.795454545454545,0.408032457358392,40.48,19.81,58.79
"Students06",60,40,50,0.472631578947368,0.192630218652163,0.497894736842105,0.237386193441016,0.485263157894737,0.215099813632094,5.05263157894737,1.49572490199774,0.481842105263158,0.182325151534106,0.488157894736842,0.23517509593237,0.485,0.209032692817814,0.432432432432432,0.502247202333923,0.542857142857143,0.505432670960188,0.486111111111111,0.503314522547481,-52.45,33.42,-138.32
"Students07",90,60,75,0.5625,0.220230066183712,0.532307692307692,0.228397870052534,0.547594936708861,0.223372835330928,5.83544303797468,0.823226605978362,0.566,0.209429016185706,0.514871794871795,0.226899836409115,0.540759493670886,0.218343249834883,0.475,0.505736325340815,0.394736842105263,0.495355383440285,0.435897435897436,0.499083408945087,3.09,29.18,-23
"Students08",55,50,52.5,0.502,0.22706827167176,0.46575,0.233434639180287,0.483875,0.229537199489249,5.3375,1.11314072716841,0.515,0.197263327845853,0.46625,0.184831003892745,0.490625,0.191511930751724,0.5,0.506369683541833,0.6,0.496138938356834,0.55,0.500632511321833,11.6,13.95,9.25
"Students09",80,80,80,0.499,0.138375186748536,0.536486486486486,0.184905624820042,0.517012987012987,0.16240839470675,5.50649350649351,0.940651742471769,0.5165,0.154679983953637,0.543783783783784,0.185252850500657,0.52961038961039,0.169476295178641,0.6,0.496138938356834,0.527777777777778,0.506309397848002,0.565789473684211,0.498946258048953,74.73,113.92,38.1
"Students10",35,65,50,0.47875,0.306442596936835,0.433870967741936,0.294456305976001,0.453454545454545,0.297777061660529,2.94545454545455,1.31117959074717,0.495833333333333,0.303299488476563,0.451935483870968,0.290647774862045,0.471090909090909,0.294270426946175,0.476190476190476,0.511766315719159,0.423076923076923,0.503831473655779,0.446808510638298,0.50253750187977,36.74,79.59,-16.83
"Students11",70,30,50,0.40825,0.214510623728308,0.37525,0.218889827105456,0.39175,0.215974535536021,3.9375,1.20488194705088,0.44475,0.208486456548387,0.355,0.206559111797729,0.399875,0.211094158305923,0.527777777777778,0.506309397848002,0.333333333333333,0.478713553878169,0.434782608695652,0.499360204472425,-29.77,-54.45,-5.1
"Students12",60,75,67.5,0.47225,0.182833643035523,0.464,0.191629985341677,0.468125,0.186140642009194,5.1125,1.00623058987491,0.481,0.161971824077127,0.4775,0.192390494994172,0.47925,0.176712417449971,0.45,0.503831473655779,0.45,0.503831473655779,0.45,0.500632511321833,-27.8,-49.7,-5.9
