"part_ID","sugar_craving","fat_craving","unhealthy_craving","trial_id","Left_Picture","Right_Picture","accuracy","response_time","Congruence","DT_Healthy","DT_Salty","DT_Sugary","DT_Total","Rel_DT_Salty","Rel_DT_Sugary","Rel_DT_Unhealthy","first_fix_Salty","first_fix_Sugary","first_fix_Unhealthy","FixCount_Healthy","FixCount_Salty","FixCount_Sugary","FixCount_Total","Rel_FixCount_Salty","Rel_FixCount_Sugary","Rel_FixCount_Unhealthy"
"Students11",70,30,50,12,"FL","FF",1,451,1,434.995,448.998,NA,883.99,0.51,NA,0.51,0,NA,0,2,2,NA,4,0.5,NA,0.5
"Students11",70,30,50,13,"FF","FL",1,606,1,764.992,416.998,NA,1181.99,0.35,NA,0.35,0,NA,0,3,1,NA,4,0.25,NA,0.25
"Students11",70,30,50,14,"FL","FF",1,509,0,182.989,464.998,NA,647.99,0.72,NA,0.72,0,NA,0,1,2,NA,3,0.67,NA,0.67
"Students11",70,30,50,15,"FF","FL",1,524,0,699.993,514.994,NA,1214.99,0.42,NA,0.42,0,NA,0,2,2,NA,4,0.5,NA,0.5
"Students11",70,30,50,16,"FL","FF",1,451,1,1048.012,384,NA,1432.01,0.27,NA,0.27,0,NA,0,3,1,NA,4,0.25,NA,0.25
"Students11",70,30,50,17,"FF","FL",1,588,1,881.997,0,NA,882,0,NA,0,NA,NA,NA,3,0,NA,3,0,NA,0
"Students11",70,30,50,18,"FL","FF",1,413,0,833.011,0,NA,833.01,0,NA,0,NA,NA,NA,3,0,NA,3,0,NA,0
"Students11",70,30,50,19,"FF","FL",1,411,0,898.982,533.005,NA,1431.99,0.37,NA,0.37,1,NA,1,2,2,NA,4,0.5,NA,0.5
"Students11",70,30,50,2,"FL","FF",1,404,0,615,400,NA,1015,0.39,NA,0.39,0,NA,0,3,1,NA,4,0.25,NA,0.25
"Students11",70,30,50,20,"FL","FF",1,533,1,600,332.992,NA,932.99,0.36,NA,0.36,0,NA,0,2,1,NA,3,0.33,NA,0.33
"Students11",70,30,50,21,"FF","FL",1,444,1,965.989,498.983,NA,1464.97,0.34,NA,0.34,1,NA,1,3,2,NA,5,0.4,NA,0.4
"Students11",70,30,50,22,"FL","FF",1,405,0,334.003,481.997,NA,816,0.59,NA,0.59,0,NA,0,2,1,NA,3,0.33,NA,0.33
"Students11",70,30,50,23,"FF","FL",1,438,0,533.004,597.005,NA,1130.01,0.53,NA,0.53,1,NA,1,3,2,NA,5,0.4,NA,0.4
"Students11",70,30,50,24,"FL","FF",1,475,1,564.992,896.998,NA,1461.99,0.61,NA,0.61,1,NA,1,2,2,NA,4,0.5,NA,0.5
"Students11",70,30,50,25,"FF","FL",1,467,1,815.999,482.996,NA,1298.99,0.37,NA,0.37,1,NA,1,3,2,NA,5,0.4,NA,0.4
"Students11",70,30,50,26,"FL","FF",1,512,0,649.996,382.989,NA,1032.98,0.37,NA,0.37,0,NA,0,2,1,NA,3,0.33,NA,0.33
"Students11",70,30,50,27,"FF","FL",1,441,0,1181.005,0,NA,1181.01,0,NA,0,NA,NA,NA,3,0,NA,3,0,NA,0
"Students11",70,30,50,28,"FL","FF",1,426,1,582.003,0,NA,582,0,NA,0,NA,NA,NA,1,0,NA,1,0,NA,0
"Students11",70,30,50,29,"FF","FL",1,414,1,150.003,216.999,NA,367,0.59,NA,0.59,0,NA,0,1,1,NA,2,0.5,NA,0.5
"Students11",70,30,50,3,"FF","FL",1,419,0,531.009,715.008,NA,1246.02,0.57,NA,0.57,1,NA,1,2,2,NA,4,0.5,NA,0.5
"Students11",70,30,50,30,"FL","FF",1,464,0,681.012,582.004,NA,1263.02,0.46,NA,0.46,1,NA,1,3,4,NA,7,0.57,NA,0.57
"Students11",70,30,50,31,"FF","FL",1,435,0,848,483.008,NA,1331.01,0.36,NA,0.36,1,NA,1,3,2,NA,5,0.4,NA,0.4
"Students11",70,30,50,32,"FL","FF",1,1158,1,698.995,448.999,NA,1147.99,0.39,NA,0.39,0,NA,0,2,2,NA,4,0.5,NA,0.5
"Students11",70,30,50,33,"FF","FL",1,513,1,233.011,798.003,NA,1031.01,0.77,NA,0.77,0,NA,0,1,2,NA,3,0.67,NA,0.67
"Students11",70,30,50,34,"FL","FF",1,470,0,749.005,365.99,NA,1114.99,0.33,NA,0.33,0,NA,0,4,1,NA,5,0.2,NA,0.2
"Students11",70,30,50,35,"FF","FL",1,501,0,350.004,0,NA,350,0,NA,0,NA,NA,NA,1,0,NA,1,0,NA,0
"Students11",70,30,50,36,"FL","FF",1,435,1,265.997,533.005,NA,799,0.67,NA,0.67,0,NA,0,1,2,NA,3,0.67,NA,0.67
"Students11",70,30,50,37,"FF","FL",1,442,1,764.008,400.013,NA,1164.02,0.34,NA,0.34,0,NA,0,4,2,NA,6,0.33,NA,0.33
"Students11",70,30,50,38,"FL","FF",1,453,0,664.013,400,NA,1064.01,0.38,NA,0.38,0,NA,0,3,1,NA,4,0.25,NA,0.25
"Students11",70,30,50,39,"FF","FL",1,541,0,132.992,166.003,NA,299,0.56,NA,0.56,0,NA,0,1,1,NA,2,0.5,NA,0.5
"Students11",70,30,50,4,"FL","FF",1,434,1,730.997,650.995,NA,1381.99,0.47,NA,0.47,0,NA,0,3,3,NA,6,0.5,NA,0.5
"Students11",70,30,50,40,"FL","FF",1,494,1,434.995,447.988,NA,882.98,0.51,NA,0.51,0,NA,0,2,2,NA,4,0.5,NA,0.5
"Students11",70,30,50,41,"FS","FL",1,610,1,497.997,NA,149.005,647,NA,0.23,0.23,NA,0,0,3,NA,1,4,NA,0.25,0.25
"Students11",70,30,50,42,"FL","FS",1,506,0,382.988,NA,414.988,797.98,NA,0.52,0.52,NA,0,0,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,43,"FS","FL",1,432,0,665.997,NA,583.002,1249,NA,0.47,0.47,NA,1,1,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,44,"FL","FS",1,445,1,683.008,NA,365.99,1049,NA,0.35,0.35,NA,0,0,3,NA,2,5,NA,0.4,0.4
"Students11",70,30,50,45,"FS","FL",1,374,1,382.003,NA,164.992,547,NA,0.3,0.3,NA,1,1,2,NA,1,3,NA,0.33,0.33
"Students11",70,30,50,46,"FL","FS",1,1703,0,631.986,NA,515.993,1147.98,NA,0.45,0.45,NA,0,0,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,47,"FS","FL",1,494,0,696.999,NA,566.004,1263,NA,0.45,0.45,NA,1,1,2,NA,2,4,NA,0.5,0.5
"Students11",70,30,50,48,"FL","FS",1,466,1,565.004,NA,948.005,1513.01,NA,0.63,0.63,NA,0,0,3,NA,3,6,NA,0.5,0.5
"Students11",70,30,50,49,"FS","FL",1,525,1,880.999,NA,283.008,1164.01,NA,0.24,0.24,NA,1,1,1,NA,1,2,NA,0.5,0.5
"Students11",70,30,50,5,"FF","FL",1,515,1,1214.003,232.999,NA,1447,0.16,NA,0.16,1,NA,1,2,1,NA,3,0.33,NA,0.33
"Students11",70,30,50,50,"FL","FS",1,513,0,765.991,NA,717.004,1482.99,NA,0.48,0.48,NA,1,1,3,NA,3,6,NA,0.5,0.5
"Students11",70,30,50,51,"FS","FL",1,627,0,930.997,NA,0,931,NA,0,0,NA,NA,NA,3,NA,0,3,NA,0,0
"Students11",70,30,50,52,"FL","FS",1,1151,1,648,NA,713.996,1362,NA,0.52,0.52,NA,0,0,2,NA,3,5,NA,0.6,0.6
