"part_ID","sugar_craving","fat_craving","unhealthy_craving","trial_id","Left_Picture","Right_Picture","accuracy","response_time","Congruence","AOI_visited","DT","First_Fix","n"
"Guest06",40,30,35,46,"FL","FS",1,494,0,"Healthy",783.001,0,3
"Guest06",40,30,35,46,"FL","FS",1,494,0,"Sugary",631.001,1,2
"Guest06",40,30,35,47,"FS","FL",1,490,0,"Healthy",1030.003,0,2
"Guest06",40,30,35,47,"FS","FL",1,490,0,"Sugary",300.007,1,1
"Guest06",40,30,35,48,"FL","FS",1,527,1,"Healthy",832.013,1,3
"Guest06",40,30,35,48,"FL","FS",1,527,1,"Sugary",531.008,0,2
"Guest06",40,30,35,49,"FS","FL",1,776,1,"Healthy",499.008,0,1
"Guest06",40,30,35,49,"FS","FL",1,776,1,"Sugary",864.999,1,2
"Guest06",40,30,35,5,"FF","FL",1,634,1,"Healthy",815.002,1,3
"Guest06",40,30,35,5,"FF","FL",1,634,1,"Salty",498.983,0,2
"Guest06",40,30,35,50,"FL","FS",1,573,0,"Healthy",248.999,1,1
"Guest06",40,30,35,50,"FL","FS",1,573,0,"Sugary",432.999,0,2
"Guest06",40,30,35,51,"FS","FL",1,578,0,"Healthy",515.994,0,1
"Guest06",40,30,35,51,"FS","FL",1,578,0,"Sugary",616,1,2
"Guest06",40,30,35,52,"FL","FS",1,605,1,"Healthy",1133.005,1,3
"Guest06",40,30,35,52,"FL","FS",1,605,1,"Sugary",333.004,0,1
"Guest06",40,30,35,53,"FS","FL",1,574,1,"Healthy",448.999,0,1
"Guest06",40,30,35,53,"FS","FL",1,574,1,"Sugary",748.992,1,3
"Guest06",40,30,35,54,"FL","FS",1,629,0,"Healthy",432,1,2
"Guest06",40,30,35,54,"FL","FS",1,629,0,"Sugary",550.004,0,2
"Guest06",40,30,35,55,"FS","FL",1,565,0,"Healthy",865.012,1,3
"Guest06",40,30,35,55,"FS","FL",1,565,0,"Sugary",116.006,0,1
"Guest06",40,30,35,56,"FL","FS",1,538,1,"Healthy",582.988,1,3
"Guest06",40,30,35,56,"FL","FS",1,538,1,"Sugary",749.005,0,2
"Guest06",40,30,35,57,"FS","FL",1,662,1,"Healthy",631.002,0,2
"Guest06",40,30,35,57,"FS","FL",1,662,1,"Sugary",799.002,1,3
"Guest06",40,30,35,58,"FL","FS",1,642,0,"Healthy",383.002,1,1
"Guest06",40,30,35,58,"FL","FS",1,642,0,"Sugary",1030.989,0,2
"Guest06",40,30,35,59,"FS","FL",1,505,0,"Healthy",917.005,0,4
"Guest06",40,30,35,59,"FS","FL",1,505,0,"Sugary",432.985,1,2
"Guest06",40,30,35,6,"FL","FF",1,517,0,"Healthy",482.01,1,1
"Guest06",40,30,35,6,"FL","FF",1,517,0,"Salty",848.999,0,2
"Guest06",40,30,35,60,"FL","FS",1,575,1,"Healthy",532.007,1,3
"Guest06",40,30,35,60,"FL","FS",1,575,1,"Sugary",832,0,1
"Guest06",40,30,35,61,"FS","FL",1,493,1,"Healthy",998.002,0,2
"Guest06",40,30,35,61,"FS","FL",1,493,1,"Sugary",150.004,1,1
"Guest06",40,30,35,62,"FL","FS",1,403,0,"Healthy",332.992,1,1
"Guest06",40,30,35,62,"FL","FS",1,403,0,"Sugary",1180.992,0,1
"Guest06",40,30,35,63,"FS","FL",1,541,0,"Healthy",765.005,0,2
"Guest06",40,30,35,63,"FS","FL",1,541,0,"Sugary",549.005,1,2
"Guest06",40,30,35,64,"FL","FS",1,621,1,"Healthy",383.002,0,1
"Guest06",40,30,35,64,"FL","FS",1,621,1,"Sugary",685.005,1,2
"Guest06",40,30,35,65,"FS","FL",1,452,1,"Healthy",600,0,2
"Guest06",40,30,35,65,"FS","FL",1,452,1,"Sugary",682.009,1,3
"Guest06",40,30,35,66,"FL","FS",1,511,0,"Healthy",798.989,1,4
"Guest06",40,30,35,66,"FL","FS",1,511,0,"Sugary",580.006,0,2
"Guest06",40,30,35,67,"FS","FL",1,613,0,"Healthy",1166.003,0,3
