calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.900,0.500,0.913,0.494,True,0.5603432166113294,0.901,0.568,True,1.590333963476155
0.900,0.900,0.926,0.839,True,1.7456851674161271,0.932,0.974,True,1.802127688969108
0.900,0.100,0.891,0.100,True,0.3811435658367941,0.872,0.175,True,2.2001535988735554
0.100,0.500,0.090,0.543,True,1.1103424462045268,0.094,0.431,True,1.7437378667450503
0.100,0.900,0.084,0.895,True,0.716648320318086,0.096,0.822,True,1.807194304231075
0.100,0.100,0.103,0.135,True,0.9273909204667916,0.095,0.059,True,1.0923482536038023
0.500,0.500,0.494,0.508,True,0.34470340257746557,0.506,0.489,True,0.3877992756587787
0.500,0.900,0.493,0.855,True,1.1067348696550425,0.525,0.879,True,1.2360343178447692
0.500,0.100,0.504,0.145,True,1.2241214722157565,0.497,0.119,True,0.5425288597346594
