calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.500,0.500,0.505,0.473,True,0.7224335316777228,0.495,0.499,True,0.20807812610524934
0.500,0.900,0.467,0.922,True,1.552577130692157,0.551,0.909,True,NaN
0.500,0.100,0.494,0.123,True,0.6498586764446372,0.490,0.123,True,0.7398381812498087
0.900,0.500,0.910,0.440,True,1.466929016763629,0.902,0.515,True,0.35146420746724516
0.900,0.900,0.905,0.900,True,0.19921213756526868,0.917,0.883,True,0.7824494371279229
0.900,0.100,0.888,0.062,True,1.0252502235811107,0.930,0.108,True,1.208263017034767
0.100,0.500,0.116,0.526,True,0.9395585308835734,0.115,0.478,True,0.8104436238477888
0.100,0.900,0.087,0.927,True,0.775466534644238,0.073,0.869,True,1.3210601012654593
0.100,0.100,0.104,0.155,True,1.321393604871048,0.107,0.098,True,0.29471269152429613
