calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.500,0.900,0.501,0.917,True,0.35814094339139046,0.502,0.903,True,0.10547752884519923
0.500,0.100,0.499,0.096,True,0.09938932019781532,0.498,0.099,True,0.07404059820112252
0.500,0.500,0.495,0.493,True,0.2842199281512876,0.504,0.498,True,0.15911359528001867
0.900,0.900,0.903,0.896,True,0.14528823322189055,0.886,0.906,True,0.5280305603417901
0.900,0.100,0.889,0.099,True,0.3977167503588248,0.901,0.083,True,0.37436207347275285
0.900,0.500,0.903,0.496,True,0.1411946197053453,0.897,0.506,True,0.17991162332907606
0.100,0.900,0.106,0.918,True,0.45531948661982824,0.102,0.922,True,0.46823820671119165
0.100,0.100,0.104,0.098,True,0.18563712078224626,0.109,0.080,True,0.5907455968662134
0.100,0.500,0.102,0.491,True,0.21150471389057657,0.101,0.515,True,0.3391657946814348
