calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.500,0.500,0.500,0.498,True,0.054620186394402026,0.500,0.484,True,0.4066107214593444
0.500,0.900,0.500,0.898,True,0.056877132213628556,0.503,0.893,True,0.2013389556649372
0.500,0.100,0.499,0.116,True,0.4224207561632056,0.504,0.125,True,0.6748682918865825
0.900,0.500,0.907,0.485,True,0.4386921455130164,0.905,0.503,True,0.20243112481921344
0.900,0.900,0.906,0.880,True,0.5186032915190708,0.897,0.897,True,0.12184952730018495
0.900,0.100,0.897,0.114,True,0.3439281225853392,0.900,0.112,True,0.29035743123324664
0.100,0.500,0.095,0.485,True,0.446361585082343,0.095,0.485,True,0.4323211185129594
0.100,0.900,0.099,0.901,True,0.047251863092242274,0.086,0.892,True,0.6469775057257152
0.100,0.100,0.100,0.119,True,0.4828393015053507,0.106,0.110,True,0.36044626202777863
