calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.900,0.900,0.912,0.860,True,1.057460496384408,0.911,0.884,True,0.6029510131309053
0.900,0.100,0.909,0.109,True,0,0.910,0.124,True,0
0.900,0.500,0.900,0.500,True,0.018486874459142655,0.910,0.501,True,0.3877359692900768
0.100,0.900,0.092,0.864,True,0.9507744910442284,0.088,0.858,True,1.1393711605157932
0.100,0.100,0.094,0.127,True,0,0.096,0.128,True,0
0.100,0.500,0.090,0.502,True,0.4313605984315245,0.096,0.485,True,0.42380267803150673
0.500,0.900,0.501,0.886,True,0.352123801094649,0.499,0.865,True,0.860564740957841
0.500,0.100,0.493,0.143,True,0,0.495,0.154,True,0
0.500,0.500,0.501,0.496,True,0.10909592404436808,0.497,0.493,True,0.21232015808823235
