calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.500,0.900,0.479,0.874,True,1.0972825615870647,0.519,0.878,True,0.9864405222546679
0.500,0.100,0.495,0.118,True,0.5006749659877983,0.509,0.100,True,0.4031695791451284
0.500,0.500,0.488,0.516,True,0.6827411941530386,0.509,0.520,True,0.6380293323995261
0.900,0.900,0.916,0.861,True,1.1036158432318075,0.911,0.888,True,0.5151963019587242
0.900,0.100,0.907,0.054,True,1.0877131339344146,0.892,0.149,True,1.177765540928931
0.900,0.500,0.896,0.476,True,0.585507941594301,0.889,0.530,True,0.8400165907614792
0.100,0.900,0.093,0.913,True,0.39812324613194505,0.077,0.887,True,0.9911631303309036
0.100,0.100,0.110,0.171,True,1.8034736464543357,0.103,0.077,True,0.5845218392454967
0.100,0.500,0.101,0.524,True,0.5830108761169299,0.094,0.467,True,0.8501214785072193
