calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.900,0.900,0.905,0.913,True,0.350523997524931,0.907,0.921,True,0.5190621020025787
0.900,0.100,0.894,0.125,True,0.6755396288469342,0.913,0.127,True,0.8867150742968306
0.900,0.500,0.896,0.508,True,0.25728178685250214,0.894,0.531,True,0.8041266188592999
0.100,0.900,0.103,0.899,True,0.11934194485769467,0.091,0.870,True,0.8296622052305338
0.100,0.100,0.083,0.080,True,0.924719023036289,0.101,0.085,True,0.3858169472674149
0.100,0.500,0.109,0.489,True,0.4638469322111973,0.105,0.483,True,0.47730408117240586
0.500,0.900,0.504,0.890,True,0.3122736619429247,0.495,0.878,True,0.5867655507701102
0.500,0.100,0.507,0.110,True,0.4136082956806604,0.507,0.118,True,0.5610855261166421
0.500,0.500,0.508,0.493,True,0.42810325329776333,0.501,0.483,True,0.4445152636414491
