calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.900,0.900,0.904,0.830,True,1.4682595956628575,0.902,0.880,True,0.42487477237312987
0.900,0.100,0.900,0.136,True,0.8168963056246525,0.906,0.071,True,0.6927657610756341
0.900,0.500,0.902,0.525,True,0.5516970542286685,0.894,0.523,True,0.5685314005154964
0.100,0.900,0.094,0.939,True,0.8292477486647272,0.089,0.898,True,0.43340799701866217
0.100,0.100,0.095,0.106,True,0.24518177261626306,0.106,0.134,True,0.8616351508020443
0.100,0.500,0.101,0.487,True,0.2946698385444506,0.100,0.500,True,0.02301555202319605
0.500,0.900,0.502,0.908,True,0.18112017407099756,0.499,0.888,True,0.2620576542753952
0.500,0.100,0.501,0.103,True,0.07056987160461858,0.498,0.104,True,0.12523730953222412
0.500,0.500,0.491,0.408,True,2.1890723640162832,0.504,0.450,True,NaN
