calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.500,0.500,0.497,0.487,True,0.36195980816813744,0.499,0.499,True,0.05250550068120674
0.500,0.900,0.495,0.888,True,0.35664285770400284,0.493,0.880,True,0.5852478288586553
0.500,0.100,0.501,0.112,True,0.3336276898323831,0.502,0.136,True,0.9593187270522776
0.900,0.500,0.908,0.491,True,0.41364387542290615,0.886,0.525,True,0.8467715003949934
0.900,0.900,0.924,0.872,True,1.1909441860220227,0.889,0.888,True,0.49853618164974023
0.900,0.100,0.886,0.132,True,0.9838367823060139,0.929,0.102,True,1.1826941778991795
0.100,0.500,0.099,0.497,True,0.07376472246698995,0.099,0.481,True,0.4921790038428071
0.100,0.900,0.096,0.898,True,0.16644343636096437,0.088,0.873,True,0.8477368462270078
0.100,0.100,0.092,0.107,True,0.3897743189812104,0.110,0.110,True,0.5341772837617782
