calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.500,0.500,0.498,0.508,True,0.23369135177250655,0.494,0.495,True,0.3120067463185592
0.500,0.900,0.492,0.838,True,1.5630289142078482,0.502,0.853,True,1.1515040604101614
0.500,0.100,0.530,0.139,True,1.781994063906609,0.496,0.145,True,1.2338148632880461
0.900,0.500,0.907,0.429,True,1.794042360632659,0.915,0.540,True,1.1348839406072102
0.900,0.900,0.901,0.808,True,2.1121348458576676,0.922,0.886,True,0.9574899554961576
0.900,0.100,0.900,0.130,True,0.7535834615324575,0.889,0.201,True,2.585052263956868
0.100,0.500,0.088,0.533,True,0.9758923670017339,0.086,0.471,True,0.9671246428630411
0.100,0.900,0.064,0.875,True,1.679144460641453,0.097,0.835,True,1.5405254349407187
0.100,0.100,0.107,0.191,True,2.383753873599346,0.096,0.099,True,0.19156108206294675
