calibrationPoint_x,calibrationPoint_y,left_gazePoint_x,left_gazePoint_y,left_gazePoint_isValid,left_accuracy,right_gazePoint_x,right_gazePoint_y,right_gazePoint_isValid,right_accuracy
0.500,0.500,0.502,0.505,True,0.140870663026476,0.504,0.501,True,0.18716097233902929
0.500,0.900,0.500,0.859,True,0.9329971963510957,0.523,0.863,True,1.2947357423906283
0.500,0.100,0.498,0.120,True,0.5177092724929366,0.492,0.123,True,0.6821065936103423
0.900,0.500,0.912,0.476,True,0.7455048098674979,0.908,0.553,True,1.2468853928951944
0.900,0.900,0.914,0.866,True,0.9624689811399207,0.924,0.926,True,1.0049114207001821
0.900,0.100,0.898,0.120,True,0.4885814114285836,0.887,0.194,True,2.2885031384714694
0.100,0.500,0.092,0.512,True,0.42102909949880996,0.094,0.461,True,0.9942307017950611
0.100,0.900,0.088,0.894,True,0.5050485731839558,0.099,0.820,True,1.8231066404301828
0.100,0.100,0.094,0.143,True,1.0692645320821157,0.091,0.055,True,1.1491585857792188
