"trial_id","sx","sy","px","py","pz","duration","timestamp","trial_onset","label","label_onset","subject_nr.x","AOI_visited","subject_nr.y","fat_craving","sugar_craving","Block","practice","Arrow_Direction","Arrow_Position","Congruence","Left_Picture","Right_Picture","Pair_Number","response","response_time","accuracy","part_ID"
1,0.417515188455582,0.475787848234177,-39.0793914794922,144.543930053711,45.7724266052246,165.991,1412.006,383.001,"Pictures_Onset",149.004,"22","Salty",22,100,100,1,"no","up","Left",1,"FF","FL",1,"up",581,1,"Guest22"
1,0.56205552816391,0.433444499969482,29.8641662597656,155.240829467773,49.6666679382324,183.001,1645.005,616,"Pictures_Onset",382.003,"22","Healthy",22,100,100,1,"no","up","Left",1,"FF","FL",1,"up",581,1,"Guest22"
1,0.429181843996048,0.616454541683197,-33.6184844970703,109.119995117188,32.8775749206543,165.005,1912,882.995,"Pictures_Onset",648.998,"22","Salty",22,100,100,1,"no","up","Left",1,"FF","FL",1,"up",581,1,"Guest22"
1,0.553181886672974,0.518454492092133,25.6587886810303,133.756973266602,41.8454551696777,167.002,2160.998,1131.993,"Pictures_Onset",897.996,"22","Healthy",22,100,100,1,"no","up","Left",1,"FF","FL",1,"up",581,1,"Guest22"
1,0.423777788877487,0.499055534601212,-36.0736122131348,138.685546875,43.640552520752,184,2392.998,1363.993,"Pictures_Onset",1129.996,"22","Salty",22,100,100,1,"no","up","Left",1,"FF","FL",1,"up",581,1,"Guest22"
1,0.449533373117447,0.49606665968895,-23.7583332061768,139.437347412109,43.9130020141602,150.003,2825.997,1796.992,"Pictures_Onset",1562.995,"22","Salty",22,100,100,1,"no","up","Left",1,"FF","FL",1,"up",581,1,"Guest22"
2,0.382615387439728,0.482871860265732,-55.6823120117188,142.767425537109,45.1259002685547,199.002,1504.998,483.008,"Pictures_Onset",241.996,"22","Healthy",22,100,100,2,"no","up","Left",0,"FL","FF",1,"up",587,1,"Guest22"
2,0.603066682815552,0.453266710042953,49.4180030822754,150.197784423828,47.8311080932617,233.012,1853.99,832,"Pictures_Onset",590.988,"22","Salty",22,100,100,2,"no","up","Left",0,"FL","FF",1,"up",587,1,"Guest22"
3,0.591095328330994,0.512571454048157,43.7459487915039,135.293319702148,42.4049987792969,215.002,1463.987,433.997,"Pictures_Onset",200.985,"22","Healthy",22,100,100,3,"no","down","Right",0,"FF","FL",1,"down",653,1,"Guest22"
3,0.548484861850739,0.58321213722229,23.3672733306885,117.476974487305,35.921215057373,166.003,2212.992,1183.002,"Pictures_Onset",949.99,"22","Healthy",22,100,100,3,"no","down","Right",0,"FF","FL",1,"down",653,1,"Guest22"
3,0.558592557907104,0.51581484079361,28.1525917053223,134.429992675781,42.0903739929199,133.005,2678.989,1648.999,"Pictures_Onset",1415.987,"22","Healthy",22,100,100,3,"no","down","Right",0,"FF","FL",1,"down",653,1,"Guest22"
4,0.452833294868469,0.592833340167999,-22.2350006103516,114.988334655762,35.0183334350586,132.992,1446.003,416,"Pictures_Onset",183.001,"22","Healthy",22,100,100,4,"no","down","Right",1,"FL","FF",1,"down",444,1,"Guest22"
6,0.618878781795502,0.500909090042114,56.9748420715332,138.205749511719,43.4648475646973,166.989,1453.005,365.005,"Pictures_Onset",190.003,"22","Salty",22,100,100,3,"no","up","Left",0,"FL","FF",2,"up",579,1,"Guest22"
6,0.599266648292542,0.499733358621597,47.5864410400391,138.510009765625,43.5764503479004,232.998,2285.005,1197.005,"Pictures_Onset",1022.003,"22","Salty",22,100,100,3,"no","up","Left",0,"FL","FF",2,"up",579,1,"Guest22"
8,0.444416701793671,0.486266702413559,-26.2496681213379,141.886337280273,44.8054962158203,316.007,1656.998,632,"Pictures_Onset",393.996,"22","Healthy",22,100,100,1,"no","down","Right",1,"FL","FF",2,"down",688,1,"Guest22"
8,0.590299963951111,0.490633338689804,43.3096656799316,140.819000244141,44.4156646728516,149.005,2040,1015.002,"Pictures_Onset",776.998,"22","Salty",22,100,100,1,"no","down","Right",1,"FL","FF",2,"down",688,1,"Guest22"
9,0.548155546188354,0.525199949741364,23.2155570983887,132.081329345703,41.2371101379395,232.999,1778.995,681.997,"Pictures_Onset",515.993,"22","Healthy",22,100,100,3,"no","up","Left",1,"FF","FL",3,"up",668,1,"Guest22"
9,0.61653333902359,0.514966666698456,55.8396606445312,134.721664428711,42.1980018615723,149.991,2062.003,965.005,"Pictures_Onset",799.001,"22","Healthy",22,100,100,3,"no","up","Left",1,"FF","FL",3,"up",668,1,"Guest22"
10,0.560520827770233,0.53522914648056,29.0997924804688,129.580200195312,40.3254203796387,248.998,2129.997,1048,"Pictures_Onset",866.995,"22","Salty",22,100,100,4,"no","up","Left",0,"FL","FF",3,"up",795,1,"Guest22"
11,0.557041645050049,0.454166680574417,27.4629173278809,149.985412597656,47.752082824707,118.004,1160.998,131.993,"Pictures_Onset",-102.004,"22","Healthy",22,100,100,1,"no","down","Right",0,"FF","FL",3,"down",510,1,"Guest22"
11,0.557611167430878,0.450055599212646,27.7891693115234,151.017227172852,48.1288871765137,183.001,1311.002,281.997,"Pictures_Onset",48,"22","Healthy",22,100,100,1,"no","down","Right",0,"FF","FL",3,"down",510,1,"Guest22"
11,0.435933351516724,0.469566643238068,-30.2880001068115,146.108673095703,46.3423347473145,151.002,1992.998,963.993,"Pictures_Onset",729.996,"22","Salty",22,100,100,1,"no","down","Right",0,"FF","FL",3,"down",510,1,"Guest22"
11,0.605242431163788,0.460424244403839,50.4866676330566,148.40576171875,47.178783416748,165.99,2227.008,1198.003,"Pictures_Onset",964.006,"22","Healthy",22,100,100,1,"no","down","Right",0,"FF","FL",3,"down",510,1,"Guest22"
13,0.584666669368744,0.52258825302124,40.6613731384277,132.753128051758,41.4817695617676,265.997,2029.005,848,"Pictures_Onset",766.003,"22","Healthy",22,100,100,4,"no","up","Left",1,"FF","FL",4,"up",637,1,"Guest22"
14,0.37697622179985,0.491952389478683,-58.3792915344238,140.465469360352,44.288330078125,216.999,1398.003,349.005,"Pictures_Onset",135.001,"22","Healthy",22,100,100,1,"no","up","Left",0,"FL","FF",4,"up",777,1,"Guest22"
15,0.596244513988495,0.46806663274765,46.142448425293,146.493560791016,46.4831085205078,232.999,1286.003,265.997,"Pictures_Onset",23.001,"22","Healthy",22,100,100,2,"no","down","Right",0,"FF","FL",4,"down",543,1,"Guest22"
17,0.613333344459534,0.49127271771431,54.2884864807129,140.642425537109,44.352725982666,167.001,1317.005,99.008,"Pictures_Onset",54.0030000000002,"22","Healthy",22,100,100,1,"no","up","Left",1,"FF","FL",5,"down",448,0,"Guest22"
17,0.576963007450104,0.508425951004028,36.9007415771484,136.334991455078,42.7859268188477,282.996,1700.006,482.009,"Pictures_Onset",437.004,"22","Healthy",22,100,100,1,"no","up","Left",1,"FF","FL",5,"down",448,0,"Guest22"
17,0.594515085220337,0.483545422554016,45.3345489501953,142.595458984375,45.062427520752,165.991,2316.006,1098.009,"Pictures_Onset",1053.004,"22","Healthy",22,100,100,1,"no","up","Left",1,"FF","FL",5,"down",448,0,"Guest22"
18,0.391874998807907,0.471958309412003,-51.2229232788086,145.50959777832,46.1247901916504,249.997,1522.995,416,"Pictures_Onset",259.993,"22","Healthy",22,100,100,2,"no","up","Left",0,"FL","FF",5,"up",685,1,"Guest22"
18,0.583912372589111,0.462754338979721,40.2047309875488,147.831771850586,46.9677200317383,299.994,1856,749.005,"Pictures_Onset",592.998,"22","Salty",22,100,100,2,"no","up","Left",0,"FL","FF",5,"up",685,1,"Guest22"
18,0.396523803472519,0.545309484004974,-49.1402397155762,127.014045715332,39.3935737609863,214.989,2240,1133.005,"Pictures_Onset",976.998,"22","Healthy",22,100,100,2,"no","up","Left",0,"FL","FF",5,"up",685,1,"Guest22"
19,0.371520847082138,0.508687496185303,-61.0120811462402,136.255630493164,42.7570838928223,249.996,1775.002,664.999,"Pictures_Onset",512,"22","Salty",22,100,100,3,"no","down","Right",0,"FF","FL",5,"down",625,1,"Guest22"
19,0.580392062664032,0.467431396245956,38.6215705871582,146.658432006836,46.541374206543,265.997,2141.005,1031.002,"Pictures_Onset",878.003,"22","Healthy",22,100,100,3,"no","down","Right",0,"FF","FL",5,"down",625,1,"Guest22"
19,0.621833264827728,0.476624965667725,58.3533325195312,144.326675415039,45.6945877075195,117.005,2456.998,1346.995,"Pictures_Onset",1193.996,"22","Healthy",22,100,100,3,"no","down","Right",0,"FF","FL",5,"down",625,1,"Guest22"
20,0.606033325195312,0.503199934959412,50.7783279418945,137.613998413086,43.2509994506836,149.005,1294.003,265.997,"Pictures_Onset",31.001,"22","Salty",22,100,100,4,"no","down","Right",1,"FL","FF",5,"down",642,1,"Guest22"
21,0.433000028133392,0.481083333492279,-31.6504173278809,143.190841674805,45.2804145812988,117.005,1602.995,515.993,"Pictures_Onset",339.993,"22","Salty",22,100,100,2,"no","down","Left",1,"FF","FL",6,"down",605,1,"Guest22"
21,0.586268901824951,0.477225750684738,41.3732223510742,144.158386230469,45.6322593688965,499.008,1786.995,699.993,"Pictures_Onset",523.993,"22","Healthy",22,100,100,2,"no","down","Left",1,"FF","FL",6,"down",605,1,"Guest22"
24,0.382490158081055,0.465999960899353,-55.7245063781738,147.019226074219,46.6735229492188,265.996,1311.002,282.996,"Pictures_Onset",48,"22","Healthy",22,100,100,1,"no","up","Right",1,"FL","FF",6,"up",536,1,"Guest22"
24,0.621100008487701,0.442733377218246,58.045337677002,152.880996704102,48.8076667785645,149.991,1660.006,632,"Pictures_Onset",397.004,"22","Salty",22,100,100,1,"no","up","Right",1,"FL","FF",6,"up",536,1,"Guest22"
25,0.584952354431152,0.524015784263611,40.7736511230469,132.404281616211,41.3531799316406,332.006,1710.989,681.997,"Pictures_Onset",447.987,"22","Healthy",22,100,100,3,"no","down","Left",1,"FF","FL",7,"down",563,1,"Guest22"
25,0.5594761967659,0.514857113361359,28.6242866516113,134.682388305664,42.1852378845215,216,2392.998,1364.006,"Pictures_Onset",1129.996,"22","Healthy",22,100,100,3,"no","down","Left",1,"FF","FL",7,"down",563,1,"Guest22"
26,0.622820496559143,0.501615405082703,58.7815399169922,138.059478759766,43.4117965698242,200.013,1534.989,381.991,"Pictures_Onset",271.987,"22","Salty",22,100,100,4,"no","down","Left",0,"FL","FF",7,"down",532,1,"Guest22"
28,0.605030298233032,0.45878791809082,50.3672714233398,148.816665649414,47.3275756835938,166.004,1549.99,515.993,"Pictures_Onset",286.988,"22","Salty",22,100,100,2,"no","up","Right",1,"FL","FF",7,"up",636,1,"Guest22"
28,0.4242063164711,0.47241273522377,-35.8417434692383,145.401763916016,46.0844421386719,332.992,1799.002,765.005,"Pictures_Onset",536,"22","Healthy",22,100,100,2,"no","up","Right",1,"FL","FF",7,"up",636,1,"Guest22"
28,0.60523521900177,0.469294130802155,50.4221496582031,146.159591674805,46.3607864379883,265.997,2198.003,1164.006,"Pictures_Onset",935.001,"22","Salty",22,100,100,2,"no","up","Right",1,"FL","FF",7,"up",636,1,"Guest22"
29,0.617733359336853,0.503688991069794,56.4415550231934,137.505111694336,43.2106704711914,233.997,1266.995,232,"Pictures_Onset",3.99299999999994,"22","Healthy",22,100,100,4,"no","down","Left",1,"FF","FL",8,"down",628,1,"Guest22"
30,0.613923072814941,0.500410258769989,54.567440032959,138.374877929688,43.5274391174316,201.012,1301.99,282.995,"Pictures_Onset",38.9880000000001,"22","Salty",22,100,100,1,"no","down","Left",0,"FL","FF",8,"down",595,1,"Guest22"
30,0.41220834851265,0.47081246972084,-41.4897880554199,145.788543701172,46.2260398864746,248.999,1568.998,550.003,"Pictures_Onset",305.996,"22","Healthy",22,100,100,1,"no","down","Left",0,"FL","FF",8,"down",595,1,"Guest22"
30,0.614538431167603,0.479769200086594,54.9056434631348,143.552307128906,45.4115409851074,199.987,1902.003,883.008,"Pictures_Onset",639.001,"22","Salty",22,100,100,1,"no","down","Left",0,"FL","FF",8,"down",595,1,"Guest22"
31,0.58775007724762,0.459916681051254,42.1470832824707,148.521682739258,47.2224998474121,116.006,2001.997,931.994,"Pictures_Onset",738.995,"22","Healthy",22,100,100,2,"no","up","Right",0,"FF","FL",8,"up",639,1,"Guest22"
32,0.572766661643982,0.476433336734772,34.9646682739258,144.367645263672,45.710334777832,149.005,2348.992,1313.997,"Pictures_Onset",1085.99,"22","Salty",22,100,100,3,"no","up","Right",1,"FL","FF",8,"up",524,1,"Guest22"
