"trial_id","sx","sy","px","py","pz","duration","timestamp","trial_onset","label","label_onset","subject_nr.x","AOI_visited","subject_nr.y","fat_craving","sugar_craving","Block","practice","Arrow_Direction","Arrow_Position","Congruence","Left_Picture","Right_Picture","Pair_Number","response","response_time","accuracy","part_ID"
1,0.362641036510468,0.49379488825798,-66.6407699584961,139.997955322266,44.1179542541504,200,1723.008,699.008,"Pictures_Onset",682.01,"09","Salty",9,70,90,1,"no","up","Left",1,"FF","FL",1,"up",671,1,"Guest09"
1,0.573833346366882,0.512708306312561,33.0466651916504,135.226257324219,42.381664276123,116.007,1990.003,966.003,"Pictures_Onset",949.005,"09","Healthy",9,70,90,1,"no","up","Left",1,"FF","FL",1,"up",671,1,"Guest09"
1,0.575303018093109,0.503454506397247,33.698787689209,137.536682128906,43.2206077575684,167.002,2139.008,1115.008,"Pictures_Onset",1098.01,"09","Healthy",9,70,90,1,"no","up","Left",1,"FF","FL",1,"up",671,1,"Guest09"
1,0.623888909816742,0.497777760028839,56.5988845825195,138.939544677734,43.7328872680664,232.998,2538.01,1514.01,"Pictures_Onset",1497.012,"09","Healthy",9,70,90,1,"no","up","Left",1,"FF","FL",1,"up",671,1,"Guest09"
1,0.396916687488556,0.500791668891907,-50.5633392333984,138.199172973633,43.4637489318848,117.005,2838.003,1814.003,"Pictures_Onset",1797.005,"09","Salty",9,70,90,1,"no","up","Left",1,"FF","FL",1,"up",671,1,"Guest09"
2,0.326925873756409,0.490888923406601,-83.4411163330078,140.665939331055,44.3618507385254,131.994,1464.998,432,"Pictures_Onset",424,"09","Healthy",9,70,90,2,"no","up","Left",0,"FL","FF",1,"up",466,1,"Guest09"
2,0.609740793704987,0.514611065387726,49.9594421386719,134.745178222656,42.2068557739258,282.995,1697.997,664.999,"Pictures_Onset",656.999,"09","Salty",9,70,90,2,"no","up","Left",0,"FL","FF",1,"up",466,1,"Guest09"
2,0.643022239208221,0.489866673946381,65.7535552978516,140.93310546875,44.4562187194824,233.011,2030.989,997.991,"Pictures_Onset",989.991,"09","Salty",9,70,90,2,"no","up","Left",0,"FL","FF",1,"up",466,1,"Guest09"
2,0.381625026464462,0.492541700601578,-57.7566680908203,140.293746948242,44.2241668701172,115.994,2346.995,1313.997,"Pictures_Onset",1305.997,"09","Healthy",9,70,90,2,"no","up","Left",0,"FL","FF",1,"up",466,1,"Guest09"
2,0.381190538406372,0.501500010490417,-57.8759536743164,138.043807983398,43.4071426391602,216.998,2496,1463.002,"Pictures_Onset",1455.002,"09","Healthy",9,70,90,2,"no","up","Left",0,"FL","FF",1,"up",466,1,"Guest09"
3,0.349393904209137,0.500939428806305,-72.9412155151367,138.196960449219,43.4612159729004,164.992,1247.002,217.997,"Pictures_Onset",206.004,"09","Salty",9,70,90,3,"no","down","Right",0,"FF","FL",1,"down",746,1,"Guest09"
3,0.608946621417999,0.499359995126724,49.5527992248535,138.562271118164,43.5957336425781,399.002,1928,898.995,"Pictures_Onset",887.002,"09","Healthy",9,70,90,3,"no","down","Right",0,"FF","FL",1,"down",746,1,"Guest09"
3,0.380513906478882,0.509472250938416,-58.2879180908203,136.041809082031,42.6780548095703,184,2409.997,1380.992,"Pictures_Onset",1368.999,"09","Salty",9,70,90,3,"no","down","Right",0,"FF","FL",1,"down",746,1,"Guest09"
3,0.404568642377853,0.476647049188614,-46.87548828125,144.255279541016,45.6674499511719,266.995,2709.005,1680,"Pictures_Onset",1668.007,"09","Salty",9,70,90,3,"no","down","Right",0,"FF","FL",1,"down",746,1,"Guest09"
4,0.604060590267181,0.491848438978195,47.2863655090332,140.437881469727,44.2793922424316,167.002,2462.003,1430.003,"Pictures_Onset",1421.005,"09","Salty",9,70,90,4,"no","down","Right",1,"FL","FF",1,"down",861,1,"Guest09"
4,0.437666654586792,0.507416665554047,-31.3766651153564,136.547912597656,42.8633346557617,114.996,2728.998,1696.998,"Pictures_Onset",1688,"09","Healthy",9,70,90,4,"no","down","Right",1,"FL","FF",1,"down",861,1,"Guest09"
5,0.385703712701797,0.493444442749023,-55.8170356750488,140.04296875,44.1340751647949,133.005,1389.99,364.992,"Pictures_Onset",348.992,"09","Salty",9,70,90,2,"no","up","Left",1,"FF","FL",2,"up",491,1,"Guest09"
5,0.639894366264343,0.51130884885788,64.2272491455078,135.592346191406,42.5141525268555,665.996,1607.002,582.004,"Pictures_Onset",566.004,"09","Healthy",9,70,90,2,"no","up","Left",1,"FF","FL",2,"up",491,1,"Guest09"
5,0.378041714429855,0.496402740478516,-59.4795875549316,139.285537719727,43.8601379394531,182.988,2439.002,1414.004,"Pictures_Onset",1398.004,"09","Salty",9,70,90,2,"no","up","Left",1,"FF","FL",2,"up",491,1,"Guest09"
5,0.374454528093338,0.48848482966423,-61.0915184020996,141.301986694336,44.5921173095703,165.336333333334,2655.65566666667,1663.66866666667,"Pictures_Onset",1647.66866666667,"09","Salty",9,70,90,2,"no","up","Left",1,"FF","FL",2,"up",491,1,"Guest09"
6,0.333368480205536,0.487228095531464,-80.5047378540039,141.596313476562,44.6994743347168,299.993,1431.002,399.002,"Pictures_Onset",390.004,"09","Healthy",9,70,90,3,"no","up","Left",0,"FL","FF",2,"up",630,1,"Guest09"
6,0.595217406749725,0.496884107589722,43.1521759033203,139.181579589844,43.820140838623,365.005,1930.995,898.995,"Pictures_Onset",889.997,"09","Salty",9,70,90,3,"no","up","Left",0,"FL","FF",2,"up",630,1,"Guest09"
6,0.359100013971329,0.496233373880386,-68.3756713867188,139.347320556641,43.8819999694824,150.003,2379.994,1347.994,"Pictures_Onset",1338.996,"09","Healthy",9,70,90,3,"no","up","Left",0,"FL","FF",2,"up",630,1,"Guest09"
6,0.356397420167923,0.491769254207611,-69.6453857421875,140.47346496582,44.2906455993652,416.998,2561.997,1529.997,"Pictures_Onset",1520.999,"09","Healthy",9,70,90,3,"no","up","Left",0,"FL","FF",2,"up",630,1,"Guest09"
7,0.432461529970169,0.512538433074951,-33.7276916503906,135.293594360352,42.4053802490234,200.999,1478.003,448,"Pictures_Onset",437.005,"09","Salty",9,70,90,4,"no","down","Right",0,"FF","FL",2,"down",693,1,"Guest09"
7,0.364566653966904,0.509833335876465,-65.7529983520508,135.962493896484,42.6486587524414,316.992,1745.011,715.008,"Pictures_Onset",704.013,"09","Salty",9,70,90,4,"no","down","Right",0,"FF","FL",2,"down",693,1,"Guest09"
8,0.379923135042191,0.506820499897003,-58.5453834533691,136.7041015625,42.9199981689453,199.002,1280.998,249.996,"Pictures_Onset",240,"09","Healthy",9,70,90,1,"no","down","Right",1,"FL","FF",2,"down",820,1,"Guest09"
8,0.375083327293396,0.50002783536911,-60.8141670227051,138.418869018555,43.5436134338379,184.998,2161.997,1130.995,"Pictures_Onset",1120.999,"09","Healthy",9,70,90,1,"no","down","Right",1,"FL","FF",2,"down",820,1,"Guest09"
8,0.584526360034943,0.510228097438812,38.0466651916504,135.858932495117,42.6112327575684,299.008,2428.992,1397.99,"Pictures_Onset",1387.994,"09","Salty",9,70,90,1,"no","down","Right",1,"FL","FF",2,"down",820,1,"Guest09"
9,0.650727272033691,0.484696984291077,69.3412170410156,142.241195678711,44.9348487854004,165.99,1687.002,666.01,"Pictures_Onset",646.004,"09","Healthy",9,70,90,3,"no","up","Left",1,"FF","FL",3,"up",525,1,"Guest09"
9,0.602535665035248,0.488321453332901,46.5914306640625,141.330825805664,44.6030960083008,448.998,1903.002,882.01,"Pictures_Onset",862.004,"09","Healthy",9,70,90,3,"no","up","Left",1,"FF","FL",3,"up",525,1,"Guest09"
