"trial_id","sx","sy","px","py","pz","duration","timestamp","trial_onset","label","label_onset","subject_nr.x","AOI_visited","subject_nr.y","fat_craving","sugar_craving","Block","practice","Arrow_Direction","Arrow_Position","Congruence","Left_Picture","Right_Picture","Pair_Number","response","response_time","accuracy","part_ID"
1,0.412777781486511,0.495355546474457,-41.9004440307617,139.311325073242,43.8664474487305,233.997,1312.998,282.009,"Pictures_Onset",232.998,"13","Salty",13,15,5,1,"no","up","Left",1,"FF","FL",1,"up",556,1,"Guest13"
1,0.566547572612762,0.52016669511795,30.8290500640869,133.063812255859,41.5926208496094,216.998,1612.992,582.003,"Pictures_Onset",532.992,"13","Healthy",13,15,5,1,"no","up","Left",1,"FF","FL",1,"up",556,1,"Guest13"
1,0.603566646575928,0.520066618919373,48.3924980163574,133.112503051758,41.6120071411133,317.005,1878.989,848,"Pictures_Onset",798.989,"13","Healthy",13,15,5,1,"no","up","Left",1,"FF","FL",1,"up",556,1,"Guest13"
1,0.587950050830841,0.495816618204117,40.9978332519531,139.195648193359,43.8258361816406,315.008,2228.992,1198.003,"Pictures_Onset",1148.992,"13","Healthy",13,15,5,1,"no","up","Left",1,"FF","FL",1,"up",556,1,"Guest13"
1,0.555880069732666,0.50762665271759,25.8521366119385,136.242553710938,42.7509269714355,399.001,2577.997,1547.008,"Pictures_Onset",1497.997,"13","Healthy",13,15,5,1,"no","up","Left",1,"FF","FL",1,"up",556,1,"Guest13"
2,0.614637613296509,0.507637619972229,53.6278305053711,136.239868164062,42.7507209777832,366.003,1219.994,182.004,"Pictures_Onset",139.994,"13","Salty",13,15,5,2,"no","up","Left",0,"FL","FF",1,"down",422,0,"Guest13"
2,0.622684180736542,0.497228056192398,57.3929748535156,138.822296142578,43.6906967163086,299.008,1669.99,632,"Pictures_Onset",589.99,"13","Salty",13,15,5,2,"no","up","Left",0,"FL","FF",1,"down",422,0,"Guest13"
2,0.621179521083832,0.495846122503281,56.7015380859375,139.217178344727,43.8351249694824,200,2001.997,964.007,"Pictures_Onset",921.997,"13","Salty",13,15,5,2,"no","up","Left",0,"FL","FF",1,"down",422,0,"Guest13"
2,0.631596505641937,0.520596504211426,61.6675453186035,132.978942871094,41.5638618469238,298.995,2235.994,1198.004,"Pictures_Onset",1155.994,"13","Salty",13,15,5,2,"no","up","Left",0,"FL","FF",1,"down",422,0,"Guest13"
2,0.602999925613403,0.492515176534653,48.1693878173828,140.036361694336,44.1324234008789,165.991,2584.998,1547.008,"Pictures_Onset",1504.998,"13","Salty",13,15,5,2,"no","up","Left",0,"FL","FF",1,"down",422,0,"Guest13"
2,0.601256430149078,0.496974408626556,47.279483795166,138.938980102539,43.7338485717773,200,2784.998,1747.008,"Pictures_Onset",1704.998,"13","Salty",13,15,5,2,"no","up","Left",0,"FL","FF",1,"down",422,0,"Guest13"
3,0.42512121796608,0.48893940448761,-36.1042442321777,140.921508789062,44.4536399841309,167.001,1225.997,199.002,"Pictures_Onset",145.997,"13","Salty",13,15,5,3,"no","down","Right",0,"FF","FL",1,"down",658,1,"Guest13"
3,0.595053315162659,0.49330660700798,44.3669319152832,139.810943603516,44.0493316650391,399.001,2241.997,1215.002,"Pictures_Onset",1161.997,"13","Healthy",13,15,5,3,"no","down","Right",0,"FF","FL",1,"down",658,1,"Guest13"
3,0.440333366394043,0.505733370780945,-28.873779296875,136.695556640625,42.9153366088867,232.998,2741.005,1714.01,"Pictures_Onset",1661.005,"13","Salty",13,15,5,3,"no","down","Right",0,"FF","FL",1,"down",658,1,"Guest13"
4,0.616215705871582,0.509764730930328,54.3745079040527,135.688842773438,42.5503845214844,265.997,1256,232.998,"Pictures_Onset",176,"13","Salty",13,15,5,4,"no","down","Right",1,"FL","FF",1,"down",548,1,"Guest13"
4,0.613966643810272,0.513658344745636,53.2770805358887,134.749069213867,42.2074203491211,648.999,1554.995,531.993,"Pictures_Onset",474.995,"13","Salty",13,15,5,4,"no","down","Right",1,"FL","FF",1,"down",548,1,"Guest13"
4,0.609288275241852,0.518621563911438,51.0981979370117,133.485595703125,41.7480125427246,599.002,2238.003,1215.001,"Pictures_Onset",1158.003,"13","Salty",13,15,5,4,"no","down","Right",1,"FL","FF",1,"down",548,1,"Guest13"
6,0.630647003650665,0.494382351636887,61.2003898620605,139.565689086914,43.9600982666016,549.005,1453.99,432.998,"Pictures_Onset",373.99,"13","Salty",13,15,5,3,"no","up","Left",0,"FL","FF",2,"up",652,1,"Guest13"
6,0.630000054836273,0.499153792858124,60.8797454833984,138.348968505859,43.517692565918,200,2035.994,1015.002,"Pictures_Onset",955.994,"13","Salty",13,15,5,3,"no","up","Left",0,"FL","FF",2,"up",652,1,"Guest13"
6,0.409564048051834,0.482641011476517,-43.3666648864746,142.503082275391,45.0287208557129,198.989,2486.003,1465.011,"Pictures_Onset",1406.003,"13","Healthy",13,15,5,3,"no","up","Left",0,"FL","FF",2,"up",652,1,"Guest13"
6,0.642488896846771,0.484244406223297,66.8320007324219,142.083557128906,44.876220703125,232,2752,1731.008,"Pictures_Onset",1672,"13","Salty",13,15,5,3,"no","up","Left",0,"FL","FF",2,"up",652,1,"Guest13"
7,0.615538537502289,0.512897431850433,54.0046157836914,134.932830810547,42.2738456726074,200,1227.008,199.002,"Pictures_Onset",147.008,"13","Healthy",13,15,5,4,"no","down","Right",0,"FF","FL",2,"down",437,1,"Guest13"
7,0.629733324050903,0.477866649627686,60.7633285522461,143.705337524414,45.4673347473145,149.005,1948.006,920,"Pictures_Onset",868.006,"13","Healthy",13,15,5,4,"no","down","Right",0,"FF","FL",2,"down",437,1,"Guest13"
7,0.630666613578796,0.48809090256691,61.1906089782715,141.130920410156,44.5299987792969,167.001,2130.01,1102.004,"Pictures_Onset",1050.01,"13","Healthy",13,15,5,4,"no","down","Right",0,"FF","FL",2,"down",437,1,"Guest13"
7,0.643074095249176,0.51885187625885,67.1311111450195,133.408905029297,41.7200012207031,133.991,2513.011,1485.005,"Pictures_Onset",1433.011,"13","Healthy",13,15,5,4,"no","down","Right",0,"FF","FL",2,"down",437,1,"Guest13"
7,0.616916596889496,0.505145847797394,54.6577110290527,136.860824584961,42.9758338928223,249.997,2729.011,1701.005,"Pictures_Onset",1649.011,"13","Healthy",13,15,5,4,"no","down","Right",0,"FF","FL",2,"down",437,1,"Guest13"
8,0.620784282684326,0.511529445648193,56.4935302734375,135.256286621094,42.3927459716797,264.999,1444.006,416,"Pictures_Onset",364.006,"13","Salty",13,15,5,1,"no","down","Right",1,"FL","FF",2,"down",415,1,"Guest13"
8,0.624678909778595,0.516999959945679,58.3927154541016,133.855316162109,41.8823471069336,432,1743.002,714.996,"Pictures_Onset",663.002,"13","Salty",13,15,5,1,"no","down","Right",1,"FL","FF",2,"down",415,1,"Guest13"
8,0.625416696071625,0.521555542945862,58.7383308410645,132.740844726562,41.4766654968262,383.002,2208,1179.994,"Pictures_Onset",1128,"13","Salty",13,15,5,1,"no","down","Right",1,"FL","FF",2,"down",415,1,"Guest13"
8,0.615651488304138,0.501893997192383,54.1160621643066,137.661224365234,43.2671241760254,348.992,2625.011,1597.005,"Pictures_Onset",1545.011,"13","Salty",13,15,5,1,"no","down","Right",1,"FL","FF",2,"down",415,1,"Guest13"
9,0.626111149787903,0.490185141563416,59.0470390319824,140.571105957031,44.3266677856445,132.992,1256,166.003,"Pictures_Onset",176,"13","Healthy",13,15,5,3,"no","up","Left",1,"FF","FL",3,"up",580,1,"Guest13"
9,0.626871764659882,0.50269228219986,59.4192314147949,137.451126098633,43.190860748291,631.987,1422.003,332.006,"Pictures_Onset",342.003,"13","Healthy",13,15,5,3,"no","up","Left",1,"FF","FL",3,"up",580,1,"Guest13"
9,0.605351865291595,0.485759258270264,49.2161102294922,141.702972412109,44.7392578125,283.994,2104,1014.003,"Pictures_Onset",1024,"13","Healthy",13,15,5,3,"no","up","Left",1,"FF","FL",3,"up",580,1,"Guest13"
9,0.607171356678009,0.496095269918442,50.1021842956543,139.142196655273,43.8066673278809,567.001,2419.994,1329.997,"Pictures_Onset",1339.994,"13","Healthy",13,15,5,3,"no","up","Left",1,"FF","FL",3,"up",580,1,"Guest13"
11,0.400155574083328,0.492155581712723,-47.8126678466797,140.116668701172,44.1613349914551,232.998,1239.002,216,"Pictures_Onset",159.002,"13","Salty",13,15,5,1,"no","down","Right",0,"FF","FL",3,"down",427,1,"Guest13"
11,0.597895860671997,0.50697922706604,45.6722946166992,136.376663208008,42.8010406494141,248.999,1538.995,515.993,"Pictures_Onset",458.995,"13","Healthy",13,15,5,1,"no","down","Right",0,"FF","FL",3,"down",427,1,"Guest13"
11,0.634215772151947,0.507392168045044,62.8547019958496,136.303924560547,42.7737197875977,266.995,1838.003,815.001,"Pictures_Onset",758.003,"13","Healthy",13,15,5,1,"no","down","Right",0,"FF","FL",3,"down",427,1,"Guest13"
